Function,Shortcut
Go to class, CTRL + N
Go to file, CTRL + Shift + N
Navigate open tabs ,ALT + Left-Arrow; ALT + Right-Arrow
Look up recent files ,CTRL + E
Go to line, CTRL + G
Navigate to last edit location ,CTRL + SHIFT + BACKSPACE
Go to declaration ,CTRL + B
Go to implementation ,CTRL + ALT + B
Go to source, F4
Go to super Class, CTRL + U
Show Call hierarchy ,CTRL + ALT + H
Search in path/project, CTRL + SHIFT + F
Reformat code, CTRL + ALT + L
Optimize imports, CTRL + ALT + O
Code Completion, CTRL + SPACE
Issue quick fix, ALT + ENTER
Surround code block, CTRL + ALT + T
Rename and Refractor, Shift + F6
Line Comment or Uncomment ,CTRL + /
Block Comment or Uncomment, CTRL + SHIFT + /
Go to previous/next method ,ALT + UP/DOWN
Show parameters for method, CTRL + P
Quick documentation lookup, CTRL + Q
Delete a line, CTRL + Y
View declaration in layout ,CTRL + B 